
DECIMAL       HEXADECIMAL     DESCRIPTION
13484624      0xCDC250        Zlib compressed data, best compression
13493074      0xCDE352        Zlib compressed data, compressed
13512783      0xCE304F        Zlib compressed data, compressed
13514577      0xCE3751        Zlib compressed data, compressed
13515668      0xCE3B94        Zlib compressed data, best compression
13517388      0xCE424C        Zlib compressed data, compressed
13523643      0xCE5ABB        Zlib compressed data, compressed
13524421      0xCE5DC5        Zlib compressed data, best compression
13533217      0xCE8021        Zlib compressed data, compressed
13609591      0xCFAA77        Zlib compressed data, best compression
13615639      0xCFC217        Zlib compressed data, compressed
13669259      0xD0938B        Zlib compressed data, compressed
13674900      0xD0A994        Zlib compressed data, best compression
13678259      0xD0B6B3        Zlib compressed data, compressed
13688203      0xD0DD8B        Zlib compressed data, best compression
13689671      0xD0E347        Zlib compressed data, default compression
13697627      0xD1025B        Zlib compressed data, default compression
13701330      0xD110D2        Zlib compressed data, default compression
13716745      0xD14D09        Zlib compressed data, default compression
13798014      0xD28A7E        Zlib compressed data, best compression
13801652      0xD298B4        Zlib compressed data, best compression
13805698      0xD2A882        Zlib compressed data, default compression
13821004      0xD2E44C        Zlib compressed data, best compression
13831045      0xD30B85        Zlib compressed data, compressed
13933324      0xD49B0C        Zlib compressed data, default compression
13950462      0xD4DDFE        Zlib compressed data, default compression
13961758      0xD50A1E        Zlib compressed data, best compression
13979216      0xD54E50        Zlib compressed data, best compression
13992474      0xD5821A        Zlib compressed data, best compression
14013033      0xD5D269        Zlib compressed data, compressed
14023437      0xD5FB0D        Zlib compressed data, default compression
14032672      0xD61F20        Zlib compressed data, default compression
14043559      0xD649A7        Zlib compressed data, best compression
14054260      0xD67374        Zlib compressed data, compressed
14067194      0xD6A5FA        Zlib compressed data, best compression
14075915      0xD6C80B        Zlib compressed data, best compression
14094277      0xD70FC5        Zlib compressed data, best compression
14095127      0xD71317        Zlib compressed data, compressed
14118401      0xD76E01        Zlib compressed data, default compression
14133533      0xD7A91D        Zlib compressed data, default compression
14136192      0xD7B380        Zlib compressed data, default compression
14136867      0xD7B623        Zlib compressed data, compressed
14160548      0xD812A4        Zlib compressed data, default compression
14175389      0xD84C9D        Zlib compressed data, best compression
14246941      0xD9641D        Zlib compressed data, best compression
14321351      0xDA86C7        Zlib compressed data, best compression
14323750      0xDA9026        Zlib compressed data, default compression
14324607      0xDA937F        Zlib compressed data, best compression
14326975      0xDA9CBF        Zlib compressed data, compressed
14386250      0xDB844A        Zlib compressed data, best compression
14413267      0xDBEDD3        Zlib compressed data, default compression
14413939      0xDBF073        Zlib compressed data, compressed
14454951      0xDC90A7        Zlib compressed data, best compression
14460993      0xDCA841        Zlib compressed data, best compression
14484900      0xDD05A4        Zlib compressed data, compressed
14492581      0xDD23A5        Zlib compressed data, best compression
14502728      0xDD4B48        Zlib compressed data, compressed
14528902      0xDDB186        compress'd data, 16 bits
14541299      0xDDE1F3        Zlib compressed data, default compression
14561482      0xDE30CA        Zlib compressed data, default compression
14567974      0xDE4A26        Zlib compressed data, default compression
14601282      0xDECC42        Zlib compressed data, default compression
14739916      0xE0E9CC        Zlib compressed data, best compression
14747862      0xE108D6        Zlib compressed data, compressed
14771575      0xE16577        Zlib compressed data, default compression
14777550      0xE17CCE        Zlib compressed data, default compression
14785625      0xE19C59        Zlib compressed data, default compression
14806782      0xE1EEFE        Zlib compressed data, compressed

